global_sample_id,tool_state,label,source_file,local_stroke_id,raw_start,raw_end,raw_length,Modul7_Oberwerkzeug_max,Modul7_Oberwerkzeug_min,Modul7_Oberwerkzeug_mean,Modul7_Oberwerkzeug_std,Modul7_Oberwerkzeug_range,Modul7_Oberwerkzeug_rms,Modul7_Oberwerkzeug_area,Modul7_Oberwerkzeug_abs_area,Modul7_Oberwerkzeug_peak_index,Modul7_Oberwerkzeug_skew,Modul7_Oberwerkzeug_kurtosis,Modul7_Oberwerkzeug_loading_slope,Modul7_Oberwerkzeug_unloading_slope,Modul7_Oberwerkzeug_settling_index_after_peak,Modul7_Oberwerkzeug_fft_energy_total,Modul7_Oberwerkzeug_fft_energy_low,Modul7_Oberwerkzeug_fft_energy_mid,Modul7_Oberwerkzeug_fft_energy_high,Modul7_Unterwerkzeug_max,Modul7_Unterwerkzeug_min,Modul7_Unterwerkzeug_mean,Modul7_Unterwerkzeug_std,Modul7_Unterwerkzeug_range,Modul7_Unterwerkzeug_rms,Modul7_Unterwerkzeug_area,Modul7_Unterwerkzeug_abs_area,Modul7_Unterwerkzeug_peak_index,Modul7_Unterwerkzeug_skew,Modul7_Unterwerkzeug_kurtosis,Modul7_Unterwerkzeug_loading_slope,Modul7_Unterwerkzeug_unloading_slope,Modul7_Unterwerkzeug_settling_index_after_peak,Modul7_Unterwerkzeug_fft_energy_total,Modul7_Unterwerkzeug_fft_energy_low,Modul7_Unterwerkzeug_fft_energy_mid,Modul7_Unterwerkzeug_fft_energy_high,Modul10_Unterwerkzeug_max,Modul10_Unterwerkzeug_min,Modul10_Unterwerkzeug_mean,Modul10_Unterwerkzeug_std,Modul10_Unterwerkzeug_range,Modul10_Unterwerkzeug_rms,Modul10_Unterwerkzeug_area,Modul10_Unterwerkzeug_abs_area,Modul10_Unterwerkzeug_peak_index,Modul10_Unterwerkzeug_skew,Modul10_Unterwerkzeug_kurtosis,Modul10_Unterwerkzeug_loading_slope,Modul10_Unterwerkzeug_unloading_slope,Modul10_Unterwerkzeug_settling_index_after_peak,Modul10_Unterwerkzeug_fft_energy_total,Modul10_Unterwerkzeug_fft_energy_low,Modul10_Unterwerkzeug_fft_energy_mid,Modul10_Unterwerkzeug_fft_energy_high
wear_000000,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,0,28,5540,5512,1.827427628304435,-0.3481823061568098,0.15015685399997503,0.4143466660372458,2.175609934461245,0.4407156004265685,76.8802316851709,91.6901756822465,123,2.781931981515577,7.2929284622796775,0.014858911312483842,-0.0046967970168141065,101,22502.857241570266,22162.03882887767,335.37297535964984,5.445437332940026,0.16923620379232304,-0.1866408856635843,-0.009850195953673015,0.09084827562403108,0.35587708945590735,0.09138071757316024,-5.11366101959395,41.24165812577856,113,-0.04851412193115075,-1.3137568234384447,0.0012037431014619718,-0.00015470690349050144,4,1081.9079256784814,916.376319748582,129.4875978707091,36.04400805919034,0.16157638167933777,-0.19842959115233735,-0.016623469498702945,0.09576378964686752,0.3600059728316751,0.0971959008688319,-8.57844786704506,43.62917864708017,113,-0.04584809813652002,-1.3067033978967553,0.0011339012977030815,-0.00015177681528802828,3,1202.1508491730897,1012.1816898433193,148.77119170384853,41.19796762592159
wear_000001,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,1,5540,11486,5946,1.8199916481298088,-0.41926058684851236,0.14400028568344453,0.40616030011813503,2.2392522349783213,0.43093186429987657,73.7285020611181,88.98816031361216,115,2.799638910148184,7.589816795405261,0.015824615623379914,-0.004586559400402865,95,21622.45936265277,21280.44278348544,333.4531564834564,8.563422683878583,0.16659246768876484,-0.24346939894375424,-0.012099954571291979,0.09558971197018346,0.4100618666325191,0.09635248795526748,-6.021163154676091,43.208023937000405,103,-0.08342600257242333,-1.1900484264816031,0.0026379956554203996,-0.0010012189597066892,4,1197.6607300125918,1021.3940744423228,105.25461322665588,71.01204234361313,0.1697942556420295,-0.27324722845859095,-0.012663702023042211,0.10117137154562036,0.44304148410062044,0.10196085410269162,-6.288858613879535,45.6040877495036,103,-0.11211053206860666,-1.0984227653107352,0.00278117156329704,-0.0010832310124709546,4,1341.6081939975527,1144.230881607552,118.08214372468002,79.29516866532083
wear_000002,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,2,11486,17452,5966,1.8232449244806592,-0.3256413400907836,0.1379445232966074,0.39812186458772403,2.148886264571443,0.4213427471433848,70.62764149907999,83.66567282993667,113,2.9904913291268294,8.540173330506116,0.016136955715345284,-0.004569185452534572,94,20775.046547835092,20453.085805218336,315.4916079785115,6.469134638246819,0.17008408722626528,-0.17788473984178282,-0.008359586099600733,0.09208057366513668,0.3479688270680481,0.09245925981889158,-4.132550389767328,41.858277881566295,107,-0.029710809476822298,-1.3530608414333687,0.0030452134923191886,-0.0007640634993354837,4,1111.3527853784926,950.7816821281814,94.1014049120473,66.46969833826387,0.199848012627241,-0.18109864763622924,-0.005414302424488357,0.09659579175778762,0.38094666026347024,0.09674741162458916,-2.6395017805146868,43.930892239739876,487,-0.024997926473848103,-1.3434924095129712,0.0007157568028002122,-0.012654583357499272,25,1223.012977342742,1040.7075472770255,108.04366100133505,74.26176906438177
wear_000003,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,3,17452,23427,5975,1.828742797535042,-0.379577757557651,0.14057527227941816,0.4056705598702847,2.208320555092693,0.4293367097301404,71.9750976739625,86.42721004010792,115,2.90138697862801,8.058415719719957,0.015908083257268092,-0.004607487542279742,92,21570.340432506546,21218.65320387238,343.5971845996669,8.090044034495119,0.18317654436847278,-0.18774742006659745,-0.009305407663644702,0.09494137858539085,0.37092396443507025,0.09539631009363586,-4.643541218561812,42.83934850567139,103,0.02161194762927859,-1.2901599954088465,0.0031048072750286585,-0.0007046771390159964,11,1181.4654814707067,1011.2730764280702,103.39223566041179,66.8001693822242,0.20959314200967688,-0.1864485816025115,-0.006574939555237443,0.10082465438260588,0.39604172361218837,0.10103880819530163,-3.2478821812252003,45.1364446523897,103,0.062316188192543066,-1.209934331778766,0.003366029065842913,-0.0007566235509786667,33,1332.4271647862874,1104.9954642139917,149.03479481738745,78.39690575490847
wear_000004,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,4,23427,29382,5955,1.825761927925581,-0.38905577623829707,0.1366678227062785,0.40144892760753836,2.214817704163878,0.42407468120664477,69.97408758396219,84.73513823210183,115,2.949744317652633,8.362889792448328,0.015875312452727455,-0.0045999688677145914,92,21123.727269899915,20802.794254667908,315.99783347532247,4.935181756685414,0.3345953292866173,-0.17632263533469034,-0.0002567660500793793,0.10428281310790141,0.5109179646213076,0.10428312921322398,-0.15206060216814654,46.01300151257366,492,0.2997124250707126,-0.5798898437656992,0.0007568064866784569,-0.012782454903621374,16,1425.4154803233614,1276.2607742012601,78.20695668089719,70.94774944120466,0.37815181041107626,-0.19075490322805397,-0.004377658481875714,0.11037880118165376,0.5689067136391303,0.11046557673810872,-2.2643843318649073,48.396759463529186,492,0.37569521034123954,-0.34596458918384965,0.0008463782470476358,-0.014691957249281573,16,1596.9318668499848,1432.0745689165308,86.195806289661,78.66149164379365
wear_000005,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,5,29382,35356,5974,1.8223602258858091,-0.4476495706143737,0.14033068280397684,0.40728256495294435,2.270009796500183,0.43078044088709466,71.84946318863675,88.6361310264212,115,2.8095172794738246,7.695371521182569,0.015849467889733067,-0.004590274132124811,93,21742.104493187315,21411.210491218506,323.1042557200358,7.7897462487679325,0.18916651643120663,-0.17518261707480104,-0.0076766922085096945,0.09621570780966623,0.36434913350600767,0.09652146928315618,-3.8494846427136125,43.221792982873296,489,0.03861154561211105,-1.2618619474625148,0.000556627265469879,-0.011656775484102018,18,1213.3980744522873,1040.9947311311955,101.0612705243429,71.34207279674942,0.19782907135487923,-0.19265256342739634,-0.010825421595171376,0.10275316892099971,0.3904816347822756,0.10332184413772676,-5.458087747475153,45.69486110239238,489,0.08253184513568813,-1.1424161840767881,0.0005739214523666715,-0.01235072917424529,18,1383.8940228313277,1142.101992917481,158.31862959410108,83.47340031974512
wear_000006,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,6,35356,41316,5960,1.8211553113860168,-0.44341267621003777,0.14242760970341428,0.4087864166339955,2.2645679875960547,0.4328879282565993,72.92317742112276,89.48989185783343,115,2.779795384549323,7.510102648286882,0.015839470169132105,-0.004587541711010394,94,21902.964494722986,21562.803052662784,333.6875463803438,6.473895679856996,0.15307021631549994,-0.16830496861317806,-0.01105707425009439,0.09170758170493218,0.321375184928678,0.09237174585953711,-5.503041163602949,41.80276305065111,106,0.042326377184294744,-1.4015149629604124,0.002885853306915492,-0.0007798071108096438,14,1102.3679629811706,982.2298352595358,55.48178899772477,64.65633872391021,0.1586737438325689,-0.20790305255635316,-0.01101843590740595,0.09636109911769304,0.36657679638892204,0.09698900635131529,-5.450593485664909,43.99897765499731,106,0.05517003672961062,-1.3914054508697113,0.0031364348031140705,-0.000902898513273207,14,1217.0778881158556,1081.1162385685577,63.738748765806754,72.22290078149118
wear_000007,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,7,41316,47285,5969,1.8220754457602055,-0.5053032254624306,0.14631634931546894,0.41641749369376463,2.327378671222636,0.4413751274496591,74.91423252597633,94.29675520569265,113,2.613586346625318,6.737537295698161,0.016128218927511158,-0.004566880966476504,96,22728.357410352695,22402.136238094634,320.3105762316811,5.9105960263869335,0.27710586926962555,-0.1975893758209688,0.0024405748190145255,0.10330203097036815,0.47469524509059435,0.10333085699852734,1.2066982007455123,45.776016394312386,494,0.24351970903155895,-0.9100153241392159,0.0006191467915692857,-0.00903338946245421,18,1398.7335201072356,1222.1455869598358,103.07710363987105,73.51082950752888,0.3377583633674698,-0.2228062663108381,0.009940405358512549,0.112702681884563,0.5605646296783079,0.11314020577436013,5.022856419541461,48.76690681978261,499,0.37355611172274833,-0.5766459331258802,0.0007219125818150189,-0.014001546182716559,13,1664.8868723922592,1420.9563828292578,156.00257618550165,87.9279133774993
wear_000008,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,8,47285,52749,5464,1.8205161932907765,-0.3949669410731457,0.15065902933938574,0.4190570761177061,2.215483134363922,0.445316714446928,77.13697879142308,93.98595619184871,123,2.725318096728467,6.996883706522604,0.01479757213170461,-0.004678772631611917,103,23017.413480441493,22691.892028517064,321.3326124631551,4.188839461265352,0.18461603027633533,-0.32446982719376294,-0.00430328743937894,0.10295650272260767,0.5090858574700983,0.10304639603429243,-1.9651076813937878,45.640328263953286,27,-0.21556654965271072,-0.8079796863263367,0.012462858452556635,-0.001049661561794017,18,1389.37422198172,1238.9511761083431,100.8540140673528,49.56903180602369,0.1937608877069243,-0.35554650074864125,-0.009565432871752518,0.10819155755440361,0.5493073884555655,0.10861358401264472,-4.635786802377826,47.876716962287716,27,-0.2459133939211078,-0.7224526687999822,0.013394223810266868,-0.0011325925535166299,16,1534.2575609816495,1362.1064934951519,115.73626128102605,56.41480620547155
wear_000009,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,9,52749,58214,5465,1.8181600044924227,-0.4536167765902939,0.15136866114665384,0.4225280297484652,2.2717767810827167,0.44882335890687597,77.50054871646238,95.96095639607935,124,2.664904348915377,6.787401292201235,0.014663512929905932,-0.004684620681514765,103,23400.2768971653,23046.32106991379,348.8040551498246,5.151772101683116,0.18006428880011302,-0.1526515310411114,0.013365208667441966,0.09106756285407462,0.33271581984122445,0.09204308668718741,6.850012959965484,41.17670015402251,124,0.08357724431127117,-1.3443006421409949,0.001705778025551998,-0.00041923800747982795,16,1087.0206970528134,960.6840071114417,87.35396437396825,38.9827255674035,0.18512310365163642,-0.17249498414284542,0.007784856837467242,0.09672199587229244,0.35761808779448184,0.09703477975189934,4.040570984406578,43.636642399653795,410,0.12442496292916083,-1.3217973459248031,0.000605261229426568,-0.0022699771616184294,11,1226.1978115511847,1070.1084397726947,110.08978568865832,45.999586089831666
