feature,new_mean,wear_mean,wear_minus_new,new_std,wear_std,standardized_effect_size,abs_effect_size
Modul7_Oberwerkzeug_settling_index_after_peak,42.21643286573146,97.58517034068136,55.368737474949896,4.725877520384692,4.786656943047301,11.640979072918597,11.640979072918597
Modul7_Oberwerkzeug_fft_energy_mid,644.6994564027322,314.908382338183,-329.79107406454915,39.3881971615208,22.108070624915758,-10.325660870944807,10.325660870944807
Modul7_Oberwerkzeug_kurtosis,17.457758520261606,6.850400396721762,-10.607358123539845,1.0772870327875637,0.9775704964846824,-10.312043923612851,10.312043923612851
Modul7_Oberwerkzeug_min,-0.01380893256656698,-0.4311597213026237,-0.41735078873605674,0.0008769146428387442,0.05961693499205109,-9.899188981005047,9.899188981005047
Modul7_Oberwerkzeug_skew,4.2821827525506135,2.6843501723003835,-1.59783258025023,0.126244800710126,0.20615226671493656,-9.347686672906017,9.347686672906017
Modul7_Oberwerkzeug_fft_energy_high,84.58386841673847,6.695072508059664,-77.8887959086788,12.602053187067867,1.5951146848552047,-8.671560253784417,8.671560253784417
Modul7_Oberwerkzeug_abs_area,52.68784616077777,96.84446625693485,44.156620096157084,2.6208921622779053,7.874044580008283,7.52483309624627,7.52483309624627
Modul7_Oberwerkzeug_area,44.63693130880088,72.39326216637606,27.75633085757518,2.7288518361304424,6.11768494659629,5.859842530550428,5.859842530550428
Modul7_Oberwerkzeug_mean,0.08716177834432517,0.1413735844193297,0.05421180607500453,0.005329827479221606,0.011948652490575298,5.859839424033444,5.859839424033444
Modul7_Oberwerkzeug_fft_energy_low,15166.589998997844,22986.546711108655,7819.95671211081,735.3555281578839,1850.107916461688,5.55484389943391,5.55484389943391
Modul7_Oberwerkzeug_fft_energy_total,15895.873323817314,23308.150165954896,7412.276842137582,716.2577314123814,1854.856061624172,5.271993557317113,5.271993557317113
Modul7_Oberwerkzeug_range,1.8471920187099486,2.243752343953212,0.39656032524326323,0.013106120356512577,0.10613678819708305,5.244115166773831,5.244115166773831
Modul7_Oberwerkzeug_rms,0.35892038787840325,0.44428211071572177,0.08536172283731852,0.008773483414166098,0.023868330730923284,4.747187681082981,4.747187681082981
Modul7_Oberwerkzeug_std,0.3481568815742642,0.42114791126037454,0.07299102968611032,0.007875404331350663,0.021481789660345568,4.5116000380469234,4.5116000380469234
Modul7_Oberwerkzeug_loading_slope,0.015585433932777367,0.015172749533682396,-0.0004126843990949706,0.0008317114174562577,0.0009173236292384376,-0.4713352138847491,0.4713352138847491
Modul7_Oberwerkzeug_max,1.8333830861433817,1.8125926226505884,-0.020790463492793343,0.012671826728304754,0.0749635138232754,-0.38673311215390643,0.38673311215390643
Modul7_Oberwerkzeug_peak_index,118.61523046092185,120.38476953907815,1.7695390781562992,6.573177452392051,5.334149867280372,0.2956223802997532,0.2956223802997532
