method,roc_auc,pr_auc,new_mean_score,wear_mean_score,wear_minus_new_mean
pca_score,1.0,1.0,0.04943750204414007,693.9156591038904,693.8662216018463
isolation_forest_score,0.9384701266259975,0.8751705567148835,0.43197391856554007,0.543580188634961,0.11160627006942098
autoencoder_score,1.0,1.0,0.07042324075291644,3128.4502808561087,3128.379857615356
