global_sample_id,tool_state,label,source_file,local_stroke_id,raw_start,raw_end,raw_length,Modul7_Oberwerkzeug_max,Modul7_Oberwerkzeug_min,Modul7_Oberwerkzeug_mean,Modul7_Oberwerkzeug_std,Modul7_Oberwerkzeug_range,Modul7_Oberwerkzeug_rms,Modul7_Oberwerkzeug_area,Modul7_Oberwerkzeug_abs_area,Modul7_Oberwerkzeug_peak_index,Modul7_Oberwerkzeug_skew,Modul7_Oberwerkzeug_kurtosis,Modul7_Oberwerkzeug_loading_slope,Modul7_Oberwerkzeug_unloading_slope,Modul7_Oberwerkzeug_settling_index_after_peak,Modul7_Oberwerkzeug_fft_energy_total,Modul7_Oberwerkzeug_fft_energy_low,Modul7_Oberwerkzeug_fft_energy_mid,Modul7_Oberwerkzeug_fft_energy_high,Modul7_Unterwerkzeug_max,Modul7_Unterwerkzeug_min,Modul7_Unterwerkzeug_mean,Modul7_Unterwerkzeug_std,Modul7_Unterwerkzeug_range,Modul7_Unterwerkzeug_rms,Modul7_Unterwerkzeug_area,Modul7_Unterwerkzeug_abs_area,Modul7_Unterwerkzeug_peak_index,Modul7_Unterwerkzeug_skew,Modul7_Unterwerkzeug_kurtosis,Modul7_Unterwerkzeug_loading_slope,Modul7_Unterwerkzeug_unloading_slope,Modul7_Unterwerkzeug_settling_index_after_peak,Modul7_Unterwerkzeug_fft_energy_total,Modul7_Unterwerkzeug_fft_energy_low,Modul7_Unterwerkzeug_fft_energy_mid,Modul7_Unterwerkzeug_fft_energy_high,Modul10_Unterwerkzeug_max,Modul10_Unterwerkzeug_min,Modul10_Unterwerkzeug_mean,Modul10_Unterwerkzeug_std,Modul10_Unterwerkzeug_range,Modul10_Unterwerkzeug_rms,Modul10_Unterwerkzeug_area,Modul10_Unterwerkzeug_abs_area,Modul10_Unterwerkzeug_peak_index,Modul10_Unterwerkzeug_skew,Modul10_Unterwerkzeug_kurtosis,Modul10_Unterwerkzeug_loading_slope,Modul10_Unterwerkzeug_unloading_slope,Modul10_Unterwerkzeug_settling_index_after_peak,Modul10_Unterwerkzeug_fft_energy_total,Modul10_Unterwerkzeug_fft_energy_low,Modul10_Unterwerkzeug_fft_energy_mid,Modul10_Unterwerkzeug_fft_energy_high
new_000493,new,0,24-11-06__18-50-56_SI_neuer_Stempel_500.tdms,493,2801624,2807088,5464,1.8347364579450751,-0.003079095087478851,0.09891857421308305,0.35580913569345307,1.837815553032554,0.36930343265026844,50.64671129532376,50.895794649537706,122,4.207467133918537,16.645433528738646,0.015047419974176348,-0.004703821219208,43,16593.95016930503,15890.242831814741,622.0347524098286,81.67258508046345,0.18895116395551578,-0.1893029920285803,0.00029494460902791783,0.09599533544834266,0.37825415598409606,0.09599578855430183,0.3223413443650397,42.7197944178654,403,0.018909625809727257,-1.253588434146117,0.0008746901889260115,-0.003376711842746241,11,1207.8785469437835,1024.2371651883514,128.81440677786136,54.82697497757081,0.22556922948943253,-0.2285513336549741,0.0009852867451573223,0.10286125943158636,0.45412056314440663,0.10286597825239546,0.7080824400455432,45.09148677082745,403,0.03779142044707627,-1.0913662068506442,0.001025589439897733,-0.004083093282110721,10,1386.8455446750088,1128.6409078336026,190.41016686189445,67.79446997951172
new_000494,new,0,24-11-06__18-50-56_SI_neuer_Stempel_500.tdms,494,2807088,2812554,5466,1.8381629647769162,-0.003732837259534185,0.09722667335594048,0.35431593546502016,1.8418958020364504,0.3674136744002801,49.780360414835975,50.09359195054978,122,4.24322425994133,16.9280525762815,0.015072291592248075,-0.004713111970483162,43,16454.975496289866,15699.3747617836,646.0875695586127,109.51316494765081,0.24575346968294517,-0.17282027280801002,0.009251357074636255,0.09455284246461788,0.4185737424909552,0.09500435582572658,4.622801059761558,42.86290953506396,508,0.004834481554037343,-1.2716586656351885,0.0004444778284953502,0.0,4,1171.824103339825,1007.4301623967356,116.09769548071773,48.29624546237157,0.27447348345758094,-0.19115344977225457,0.005083011109862422,0.09946684577862813,0.4656269332298355,0.09959663855317798,2.4728824262456874,44.818874902280264,508,0.02778570617417909,-1.1893490155904094,0.00048712291067813993,0.0,4,1296.8021063665258,1104.6981223984692,136.99648391174898,55.10750005630759
new_000495,new,0,24-11-06__18-50-56_SI_neuer_Stempel_500.tdms,495,2812554,2818020,5466,1.8392258462357545,-0.0029384454538379564,0.09952122160913761,0.3531844544348724,1.8421642916895924,0.3669383223445509,50.95479934633037,51.26506430342187,120,4.221932333350437,16.819988969914842,0.015324191170708578,-0.004692389073699769,47,16349.861175967104,15733.171407747872,546.3077802962798,70.38198792295366,0.1843320345889228,-0.19188022821523618,0.014138074462523015,0.09352404891183139,0.376212262804159,0.09458664215612306,7.393194112266234,42.48935346233722,262,-0.012439394713441911,-1.3372018223321211,0.001150579317872476,-0.001504849051216636,18,1146.514575266715,995.1371599267175,94.28588873392474,57.091526606072875,0.19426806960784596,-0.24435422837981702,0.016037785625510233,0.0987723224654094,0.43862229798766295,0.1000658895577341,8.40319442173356,44.39888518693293,262,-0.004584211449279077,-1.2378274649412082,0.0012733213899720215,-0.0017544891919506517,17,1278.7926224914331,1087.12636245349,121.32281409915721,70.34344593878615
new_000496,new,0,24-11-06__18-50-56_SI_neuer_Stempel_500.tdms,496,2818020,2823984,5964,1.8300128505686921,-0.0020027338310313926,0.08960224539427915,0.3396880294941435,1.8320155843997235,0.35130687405929123,45.87624789093751,46.29250568660821,111,4.458941247527115,18.893423129372227,0.01647858265845798,-0.004565335471774931,40,15124.531941826039,14275.397775507565,714.9657473834385,134.16841893503624,0.21518443063570936,-0.16653383090608567,0.005318602899864466,0.09387466882602293,0.381718261541795,0.09402521461821785,2.6003435899293095,42.08349096319629,499,0.033448414178786336,-1.2273076733059354,0.000350842007451617,-0.0007489623038820034,13,1155.0693710539147,1008.4150346100707,71.12819237372267,75.52614407012143,0.22116712305931657,-0.17815548659256114,0.003919087997638515,0.09878249802275262,0.3993226096518777,0.09886021022812139,1.8903889600526824,44.08700455928614,499,0.0470335953543114,-1.1855651639100975,0.00038297662913526796,-0.0014508245156661852,13,1279.0095332945925,1093.1321543100341,98.45618444114723,87.42119454341166
new_000497,new,0,24-11-06__18-50-56_SI_neuer_Stempel_500.tdms,497,2823984,2829950,5966,1.81938221151194,-0.0021251764408479618,0.09543236997570444,0.3416934975639533,1.8215073879527879,0.35477004315002003,48.86054440214017,48.96761403035739,111,4.319657389572115,17.875881267947435,0.01637801081772278,-0.004536526612009085,44,15303.52381008148,14502.088629816226,690.9616431815011,110.47353708375394,0.1840529313554371,-0.18510935572250684,0.006727861773646704,0.09272196050926326,0.36916228707794396,0.09296572532243629,3.379385334311939,42.088195216185696,116,-0.024099827279185533,-1.3389620777457854,0.0009441530066005284,-0.0003232937534213793,15,1126.9033915359942,988.5510662695746,62.83836025007632,75.5139650163433,0.20636915123438196,-0.17883948392090768,0.01118384438058004,0.09716422610127065,0.38520863515528964,0.09780575243301326,5.64712426677309,44.18244942130633,507,-0.008887518885504972,-1.3213896959688607,0.0002453553285133335,0.0,5,1237.4724520414889,1079.2189866224708,74.45381075899866,83.79965466001931
new_000498,new,0,24-11-06__18-50-56_SI_neuer_Stempel_500.tdms,498,2829950,2835915,5965,1.8195779005183197,-0.003547862201883273,0.09777021099971357,0.34330785122123864,1.8231257627202029,0.35695839375069005,50.05853190806693,50.35608385001252,111,4.246871223955979,17.345021411635628,0.016390646550910312,-0.004539056823722612,48,15448.436684097982,14644.028857982907,705.1085813904052,99.29924472466948,0.4766410259378853,-0.1588394222659631,0.02915535046382661,0.1199301365479652,0.6354804482038484,0.12342314253446204,14.57418802534241,49.13111556257574,504,0.8551516500145822,1.0851404352430478,0.00046000177089028865,-0.001842291884179184,8,1885.3006438551456,1647.6253944362174,145.8606793704375,91.81457004849074,0.5494025634427102,-0.17490284011373117,0.035969615732666105,0.1351018680766137,0.7243054035564414,0.13980818292841946,18.008993671912286,53.56020153859574,504,1.0721798064963775,1.6595631245036362,0.0005422519336374691,-0.0013263732383265309,8,2392.468607603,2055.7121185953515,225.51238686732768,111.2441021403206
