global_sample_id,tool_state,label,source_file,group,local_stroke_id,raw_start,raw_end,raw_length,valid,quality_reason,Modul7_Oberwerkzeug_raw_max,Modul7_Oberwerkzeug_raw_min,Modul7_Oberwerkzeug_raw_mean,Modul7_Oberwerkzeug_raw_std,Modul7_Oberwerkzeug_raw_range,Modul7_Oberwerkzeug_raw_area,Modul7_Unterwerkzeug_raw_max,Modul7_Unterwerkzeug_raw_min,Modul7_Unterwerkzeug_raw_mean,Modul7_Unterwerkzeug_raw_std,Modul7_Unterwerkzeug_raw_range,Modul7_Unterwerkzeug_raw_area,Modul10_Unterwerkzeug_raw_max,Modul10_Unterwerkzeug_raw_min,Modul10_Unterwerkzeug_raw_mean,Modul10_Unterwerkzeug_raw_std,Modul10_Unterwerkzeug_raw_range,Modul10_Unterwerkzeug_raw_area
wear_000000,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,0,28,5540,5512,True,valid,1.8174591064453125,-0.35809326171875,0.14028011593313452,0.41435358071392864,2.1755523681640625,773.2339248657227,0.1967315673828125,-0.183807373046875,0.006088522591334815,0.09273423144028944,0.3805389404296875,33.50299072265625,0.1312103271484375,-0.26947021484375,-0.0706516703258232,0.09772925414814641,0.4006805419921875,-389.4175109863281
wear_000001,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,1,5540,11486,5946,True,valid,1.811065673828125,-0.430938720703125,0.13408035499015883,0.4061670283584975,2.24200439453125,797.2513961791992,0.2769317626953125,-0.17071533203125,0.08139600346395555,0.09727942226859944,0.4476470947265625,484.0094909667969,0.2046966552734375,-0.2790679931640625,0.0034405130591009187,0.10296050884996186,0.4837646484375,20.577713012695312
wear_000002,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,2,11486,17452,5966,True,valid,1.8120269775390625,-0.336669921875,0.12811444263669255,0.39813344790697963,2.1486968994140625,764.340690612793,0.2104644775390625,-0.203948974609375,-0.0032604906809158146,0.09385198285142259,0.4144134521484375,-19.299270629882812,0.168914794921875,-0.30206298828125,-0.10406627392872764,0.09845917780283207,0.470977783203125,-620.6119689941406
wear_000003,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,3,17452,23427,5975,True,valid,1.815216064453125,-0.390045166015625,0.13076513825101332,0.4056785725877375,2.20526123046875,781.331787109375,0.2117462158203125,-0.225677490234375,-0.030585738305766212,0.09753449696825717,0.4374237060546875,-182.5904083251953,0.15869140625,-0.32763671875,-0.10936515520806094,0.10351802121164333,0.486328125,-653.215446472168
wear_000004,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,4,23427,29382,5955,True,valid,1.815216064453125,-0.4034576416015625,0.1266749717526632,0.4014564099013669,2.2186737060546875,754.3592224121094,0.34466552734375,-0.2362213134765625,-0.03254568514755851,0.1063572217510178,0.5808868408203125,-193.7584991455078,0.318450927734375,-0.320281982421875,-0.10894507881375945,0.11255476183018591,0.63873291015625,-648.6472091674805
wear_000005,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,5,29382,35356,5974,True,valid,1.811065673828125,-0.4590606689453125,0.1304851847426086,0.4072895192202319,2.2701263427734375,779.5282592773438,0.371826171875,-0.0908355712890625,0.12441287122125565,0.09879912565954027,0.4626617431640625,743.1941833496094,0.3398590087890625,-0.167236328125,0.0628228636142359,0.10542597813582194,0.5070953369140625,375.31668853759766
wear_000006,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,6,35356,41316,5960,True,valid,1.8101043701171875,-0.4561920166015625,0.13246437687201787,0.4087936251756499,2.26629638671875,789.4980926513672,0.3641510009765625,-0.061126708984375,0.16661120421134384,0.09382371584268764,0.4252777099609375,992.9721984863281,0.30950927734375,-0.16595458984375,0.10472557528707005,0.09860430463904293,0.4754638671875,624.2180633544922
wear_000007,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,7,41316,47285,5969,True,valid,1.8120269775390625,-0.5191497802734375,0.13636571443506293,0.4164250297955083,2.3311767578125,813.9778366088867,0.4171905517578125,-0.111602783203125,0.09857991672796428,0.10566377211946572,0.5287933349609375,588.3584365844727,0.40057373046875,-0.212921142578125,0.020848063812281423,0.11511521433449548,0.613494873046875,124.454345703125
wear_000008,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,8,47285,52749,5464,True,valid,1.8107452392578125,-0.40570068359375,0.14056957797808667,0.4190661727076042,2.2164459228515625,768.0820999145508,0.4385986328125,-0.1068115234375,0.220926245693581,0.10500469582485986,0.54541015625,1207.0858306884766,0.405364990234375,-0.1812896728515625,0.17272952011354148,0.11035053099362271,0.5866546630859375,943.8001251220703
wear_000009,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,9,52749,58214,5465,True,valid,1.80914306640625,-0.4644927978515625,0.14134952862766612,0.4225386024138818,2.2736358642578125,772.4854202270508,0.125152587890625,-0.27008056640625,-0.07657180604646757,0.09331691698498,0.395233154296875,-418.3456497192383,0.0768890380859375,-0.3554229736328125,-0.1506930645299634,0.09909797871938276,0.43231201171875,-823.3163681030273
