stroke_id,Modul7_Oberwerkzeug_max,Modul7_Oberwerkzeug_min,Modul7_Oberwerkzeug_mean,Modul7_Oberwerkzeug_std,Modul7_Oberwerkzeug_rms,Modul7_Oberwerkzeug_area,Modul7_Oberwerkzeug_peak_index,Modul7_Oberwerkzeug_skew,Modul7_Oberwerkzeug_kurtosis,Modul7_Oberwerkzeug_loading_slope,Modul7_Oberwerkzeug_unloading_slope,Modul7_Oberwerkzeug_fft_energy_total,Modul7_Oberwerkzeug_fft_energy_low,Modul7_Oberwerkzeug_fft_energy_mid,Modul7_Oberwerkzeug_fft_energy_high,Modul10_Oberwerkzeug_max,Modul10_Oberwerkzeug_min,Modul10_Oberwerkzeug_mean,Modul10_Oberwerkzeug_std,Modul10_Oberwerkzeug_rms,Modul10_Oberwerkzeug_area,Modul10_Oberwerkzeug_peak_index,Modul10_Oberwerkzeug_skew,Modul10_Oberwerkzeug_kurtosis,Modul10_Oberwerkzeug_loading_slope,Modul10_Oberwerkzeug_unloading_slope,Modul10_Oberwerkzeug_fft_energy_total,Modul10_Oberwerkzeug_fft_energy_low,Modul10_Oberwerkzeug_fft_energy_mid,Modul10_Oberwerkzeug_fft_energy_high,Modul7_Unterwerkzeug_max,Modul7_Unterwerkzeug_min,Modul7_Unterwerkzeug_mean,Modul7_Unterwerkzeug_std,Modul7_Unterwerkzeug_rms,Modul7_Unterwerkzeug_area,Modul7_Unterwerkzeug_peak_index,Modul7_Unterwerkzeug_skew,Modul7_Unterwerkzeug_kurtosis,Modul7_Unterwerkzeug_loading_slope,Modul7_Unterwerkzeug_unloading_slope,Modul7_Unterwerkzeug_fft_energy_total,Modul7_Unterwerkzeug_fft_energy_low,Modul7_Unterwerkzeug_fft_energy_mid,Modul7_Unterwerkzeug_fft_energy_high,Modul10_Unterwerkzeug_max,Modul10_Unterwerkzeug_min,Modul10_Unterwerkzeug_mean,Modul10_Unterwerkzeug_std,Modul10_Unterwerkzeug_rms,Modul10_Unterwerkzeug_area,Modul10_Unterwerkzeug_peak_index,Modul10_Unterwerkzeug_skew,Modul10_Unterwerkzeug_kurtosis,Modul10_Unterwerkzeug_loading_slope,Modul10_Unterwerkzeug_unloading_slope,Modul10_Unterwerkzeug_fft_energy_total,Modul10_Unterwerkzeug_fft_energy_low,Modul10_Unterwerkzeug_fft_energy_mid,Modul10_Unterwerkzeug_fft_energy_high
0,1.7599841189645702,-0.011287644265387309,0.08840416246124026,0.32668649725196247,0.3384366461056335,45.27214275793518,114,4.3274660785706525,18.003796255785087,0.01550242489349725,-0.0044500375769618355,13988.621803396605,13363.181310314603,555.7242351597399,69.71625792226209,0.008237194714484603,0.0033498637843224813,0.005840197001418022,0.0011310007131758158,0.005948702684499895,2.9855352830818798,35,1.4613726611531758e-05,-1.1003010174600198,0.00011230702242589595,-6.81861709804648e-06,0.16766572918278358,0.13586665926982588,0.019967846222495457,0.011831223690462262,0.32463589352024186,-0.25622563371757895,0.1333155009758584,0.1041352916464656,0.1691661365839468,68.40032906487568,161,-0.42873801147533824,0.08391971631841733,0.0025171487074740575,-0.0015088204433319724,1421.4014665894947,1205.9339576881196,163.66733866529663,51.80017023607861,0.7838472721426857,-0.3484595389422004,0.5521225987704605,0.19534765973127532,0.5856620802438324,282.784704739418,23,-2.527677861637786,7.256930073795573,0.028410060626462414,-0.0022702075414335085,5001.995006189505,4407.948110690832,486.66720258955223,107.37969290912083
1,1.7569643768913124,-0.013943314394148573,0.08623864813785233,0.3265258148168499,0.3377220931097817,44.16417078462703,118,4.3071611339383695,17.862135475860306,0.014967464884748712,-0.004486633942831334,13974.813385699203,13316.74414605844,586.6828133853024,71.38642625545964,0.01029147720965217,0.003426683081967509,0.006050874212973661,0.001237790882994582,0.006176180454881003,3.092913556301637,450,0.1573559365046578,-0.44302025616450313,1.1972287652909745e-05,-7.947328215712429e-05,0.20095040950102822,0.14257513375477104,0.03668602271839073,0.021689253027866374,0.09709744552872235,-0.27268910386227796,-0.08823899923102473,0.09328813833123767,0.12840871363969392,-45.02438069838519,113,-0.04553801834699922,-1.240129004635822,0.002208234607636098,-0.0006331784365752073,1140.683133899025,958.7370048825821,132.45479873267348,49.49133028376945,0.0343062798065327,-0.3495746292578961,-0.1551266231290073,0.0981618839212847,0.18357566466823655,-79.19911358913647,113,-0.04245547574161718,-1.2221249799882776,0.0022545280701859165,-0.0006648766754701311,1262.9812276725575,1048.7235085082184,156.747071063091,57.510648101248165
2,1.7600098279301242,-0.012793826174216752,0.08353079985182575,0.32724181599906554,0.3377345120982634,42.778360758850596,116,4.33375729633353,18.048102755043196,0.015260496053227875,-0.004472183290700574,14036.140466594707,13352.988166169012,625.3103357807349,57.84196464496176,0.008461962303558666,0.003202498966524285,0.005775615643499545,0.0011780608043411842,0.005894536734991279,2.9520487516239653,125,-0.047871992580545,-1.0541327913051706,2.8547883343164728e-05,-8.32693409203609e-06,0.18190877482755588,0.1377188553342392,0.026600519381650662,0.017589400111666063,0.06951601773874266,-0.28072922537751654,-0.09729515589868654,0.09250816074572267,0.13425389069187596,-49.66568934674826,504,-0.03443740429682927,-1.3088468924980095,0.00044703655693060113,-0.026573319692869746,1121.6839008834122,957.7333702415715,115.59470905144768,48.355821590393035,0.00218330038100234,-0.368243581896325,-0.17902670549347535,0.097317664698275,0.20376773331951611,-91.43504095081187,504,-0.02552252886626834,-1.2932596244410797,0.0004626290137707297,-0.028058262689571692,1241.3523878341398,1051.2351078795975,134.53954436923667,55.5777355853061
3,1.7613699127514124,-0.013160187050667183,0.08613729511861835,0.3310454546998939,0.3420683070496468,44.11295731423504,117,4.257091556431156,17.434493334405808,0.015141081661668637,-0.004487487843272109,14364.416365864477,13657.41799437306,628.1030357352873,78.89533575612982,0.01577189845661297,0.003669224261054122,0.006002796438587454,0.0013887428556104116,0.006161344966979789,3.0676691083207146,501,1.2172370005302624,5.497212347306437,1.929292979859532e-05,-0.0009411547829096163,0.2527880462927935,0.1682167687727357,0.051588128483326015,0.032983149036731864,0.07363973033682047,-0.2633322242256073,-0.08936070033482144,0.09334387921640966,0.12922234540317487,-45.619523548970946,120,0.0029577066618643607,-1.3488550315215422,0.001472938914185828,-0.0006041756017515199,1142.0446446397914,990.7610858409404,95.05226039991898,56.231298398932395,0.018663353332064286,-0.33695546223121575,-0.1590336670369019,0.09825165608482805,0.18693607242748922,-81.21378285322055,407,0.027245222216488243,-1.3086567162711717,0.0004878136318893164,-0.002492341884110833,1265.2977799209084,1080.8375036705847,119.0218623695003,65.4384138808224
4,1.769719158065222,-0.012985339935140595,0.08953502995340264,0.33406068585690635,0.34585121573292665,45.8525044229252,117,4.186156536153478,16.953181248555367,0.015218421662322571,-0.004506382671404563,14627.203813838685,13925.09735551975,635.1963615988639,66.91009672006942,0.0153592409840494,0.003305717062669552,0.0063015248972453745,0.0020428487797290278,0.006624382776338012,3.219874716033085,36,1.791777022401469,4.05370148267735,0.00026164975267375484,-1.7409723022586398e-05,0.5470023098738744,0.14474462561363216,0.27970350724451437,0.12255417701572781,0.046907689419303455,-0.3109988333719836,-0.13646243923988768,0.09289547694842273,0.165080486311299,-69.7249908478204,129,0.07184682225385526,-1.1373981926709027,0.0017581612300624392,-0.0004035735409001158,1131.0961574581631,945.9549560475932,122.59407479109805,62.547126619471705,0.0029047174831890177,-0.3905532989067427,-0.20632818850607937,0.09882532569514046,0.22877448802467207,-105.40532282174277,36,0.13292915068786337,-0.9966600409690822,0.007532972086828315,-0.0004286592995385445,1280.1077438934576,1025.195277425844,180.07708672460075,74.83537974301244
5,1.7750350161628097,-0.013407570238117979,0.08674034641213614,0.3348783556441687,0.34592976277654935,44.42124444192506,117,4.247401839648404,17.35357534016416,0.015262453108722885,-0.004518321965639913,14698.905722233843,14016.989712061724,621.2272747673079,60.688735404811226,0.01606263831379174,0.003436317607417475,0.00584352815532249,0.0012948376626976043,0.005985267402112193,2.9844744960762997,506,1.230924977818707,7.430697150035568,1.7165149417465697e-05,-0.00143597868745272,0.21975997730053715,0.17044636886317127,0.02733167239364629,0.021981936043719598,-0.03117532437442999,-0.38117119727540094,-0.2119789102632706,0.09192941852603961,0.23105427151848865,-108.38500446973508,407,-0.005174101840857744,-1.3113625460614249,0.0002895678566901277,-0.0011065752733061737,1107.6988607839735,970.3967907028192,84.23648432541658,53.065585755737445,-0.12591315216539198,-0.49380369026498905,-0.3147587940790882,0.09618986143450045,0.3291285279232267,-160.905319225421,407,0.00042977546119770136,-1.2994006008434746,0.00030273039562428986,-0.0012126581980419814,1212.7482245654835,1060.6496171530116,92.93332192508889,59.165285487382704
6,1.784394964510401,-0.0123353361227519,0.08531244339481477,0.3355913185473984,0.34626542721209536,43.69030173608566,119,4.299174230977579,17.691128208010223,0.01508467780368285,-0.004565838947235459,14761.53880268004,14091.9337413154,618.183079295311,51.42198206933093,0.016116857608681066,0.0037813511350038177,0.006768386035371036,0.0023303669986560432,0.007158328008147631,3.458159091719888,88,1.904085283687302,3.929107547416409,9.615840974771094e-05,-2.1845892404241566e-05,0.7118191828333682,0.1457003746039307,0.39130029701452707,0.17481851121491043,-0.05758654748369546,-0.42390532754728855,-0.2531735232848226,0.09414325959312643,0.27011069253043174,-129.40442991037742,135,0.08304848972553187,-1.1019743211523092,0.0008179323397627955,-0.0005709126314805324,1161.6855571126948,947.0747963639811,147.47124968372364,67.13951106498999,-0.1277558681291524,-0.5293083238200059,-0.34296917006417105,0.10070372631741632,0.3574480271434147,-175.251773158177,135,0.15126459409236606,-0.9672244448233998,0.0011739683871640708,-0.0007503616998187532,1329.2327058187407,1027.1410661967832,221.42563564590876,80.66600397604849
7,1.7917022419801207,-0.012956944319144133,0.08459444487036047,0.33696501539430845,0.34742141802515714,43.32176452790282,119,4.308184330194954,17.757791276686827,0.015144139750835454,-0.004580329165820188,14882.634172117545,14171.300012733429,642.1006229502656,69.23353643385063,0.01128778397170685,0.003418688854997653,0.005790017374994287,0.0011750090925572725,0.005908040924902941,2.9542577755666835,511,0.23549899174191424,-0.3599603448318671,4.135669437634382e-06,0.0,0.1810012744718404,0.1497419278162481,0.013779030621788034,0.017480316033804226,0.13763024809553565,-0.5419010290907055,-0.35832498557736236,0.0990678361755187,0.37176771168771017,-183.4749499627212,511,0.5383142718541334,0.9764482791858713,0.0004895221173536288,0.0,1286.4525476358544,1080.1375606614272,128.31707744095672,77.99790953347086,0.12472188863298894,-0.6936596788198226,-0.5012103920770811,0.10667766237487332,0.5124372944818018,-256.5817715669545,511,0.8586725052326641,2.983099981326281,0.0006366773586850139,0.0,1491.6669088091346,1223.0883250823604,174.42649723554726,94.15208649122738
8,1.8000960283819227,-0.012435905047130439,0.08740267613072458,0.33902874744134337,0.350113866315601,44.75965732842152,119,4.276470701992086,17.507845328073174,0.01521022269122375,-0.004603434746792127,15065.480631746144,14383.85549342954,629.2804552300402,52.344683086563265,0.01677759847729076,0.0036181945383701054,0.006481938062734529,0.0022369051446348375,0.006857059550216877,3.3108020457927565,468,1.9247379879600373,4.32325154718513,1.6324883890460124e-05,-0.00022760605998184083,0.6558649251784113,0.14842904522602635,0.35143447066373884,0.1560014092886462,0.23277509980135375,-0.2285239962258765,-0.0453747786511961,0.09488151946576281,0.10517306344200957,-23.39592219849944,0,0.10234401283057046,-1.0613456584976118,0.0,-0.0002685139481027853,1179.979524102889,978.7729647734362,134.54350123592528,66.66305809352724,0.2126061533708699,-0.29066704147705325,-0.09430938838013965,0.10135030691096764,0.13844184861371706,-48.420091816600035,0,0.15794907666069258,-0.9018209776370991,0.0,-0.00030828588829038227,1346.3612090627082,1066.3000590462852,199.8431988648816,80.21795115154097
9,1.7980801065090544,-0.01242486368810708,0.07864672986605085,0.32674041138674453,0.33607232041898755,40.27718768535933,110,4.484947964734368,19.43664817486484,0.016439679453667557,-0.0044973120920330095,13993.187496610335,13211.741454653134,721.3580394083427,60.088002548860665,0.009458435046279136,0.003371002953527951,0.005711618462465692,0.0011688877779117966,0.005829998636203145,2.917069211077669,2,0.1229502496219373,-0.874452087800563,0.0,-3.407412143619481e-06,0.17910643219558983,0.14403629214010372,0.01426199190560821,0.020808148149877907,0.5238666018033432,-0.19078139568767283,0.33062569710619294,0.14209478532619838,0.35986703044854557,169.09462449008586,1,-1.4078538305716919,2.4550824158510256,0.0,-0.0008658686797542117,2646.688699198844,2420.5914471679653,145.89755315035197,80.1996988805272,0.5377463029068364,-0.2775384833244354,0.311435971849923,0.15908664343553533,0.34971549105192806,159.32935748887655,1,-1.5787303665857055,2.964332107427757,0.0,-0.001051803008191962,3317.5109864315164,3029.333149109735,192.6040215834062,95.57381573837448
